eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Eastern Apache,Chiricahua,CHIRICAHUA,31,-108,0,0,1,1,3,1,1,1,6,1,2,3,1,North America
Enxet and Enlhet,Lengua,SANAPANA_ENLHET,-23,-59,0,0,1,1,2,1,1,1,6,1,2,3,1,South America
Eyak,Eyak,EYAK,60.34,-144.85,0,0,1,1,6,1,2,2,2,2,2,1,1,North America
Fellahin,Egyptians,CAIRO_ARABIC,25,33,1,1,2,2,2,5,2,2,1,5,NA,NA,3,Africa
Fon,Fon,FON_GBE,7,2,0,0,1,1,5,7,2,2,1,4,NA,NA,1,Africa
Fox,Fox,FOX,45,-95,0,0,1,1,3,1,2,2,2,1,NA,NA,1,North America
Fulani,Wodaabe Fulani,FULFULDE,12,12,0,0,1,1,5,1,2,2,1,1,1,1,2,Africa
Fur,Fur,FUR,12,24,0,0,1,1,2,7,2,2,1,4,NA,NA,2,Africa
Ganda,Ganda,GANDA,1,32,0,0,1,1,5,7,2,2,1,4,2,2,1,Africa
Garifuna,Garifuna,GARIFUNA,16,-89,3,3,1,1,2,1,2,1,6,1,NA,NA,3,Middle America and the Caribbean
Garo,Garo,GARO,26,91,0,0,1,1,2,1,1,1,6,2,NA,NA,1,Asia
Gikuyu,Kikuyu,GIKUYU,-1,37,0,0,1,1,5,7,2,2,1,2,2,1,1,Africa
Goajiro,Wayuu,WAYUU,12,-72,0,0,1,1,5,1,2,2,1,2,NA,NA,1,South America
Gond,Muria Gond,WESTERN_MURIA,20,81,0,0,1,1,2,1,2,2,1,1,NA,NA,1,Asia
Gond,Madia,ABUJHMARIA,19,81,0,0,1,1,3,1,2,2,1,2,NA,NA,5,Asia
Greece,Greeks,GREEK,39,23,1,1,2,2,1,5,3,3,7,5,1,3,3,Europe
Gros Ventre,Gros Ventre,GROS_VENTRE,48.78,-108.98,0,0,1,1,3,1,2,2,1,1,1,3,1,North America
